titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Tableau équipé 1 Rangée LEGRAND (KIT1R);127.26;FALSE;0.003830241;6.88;legrand;https://www.manomano.fr/catalogue/p/tableau-equipe-1-rangee-legrand-4412923;cuadros;14/12/2020
Coffret VDI Hager semi-équipé 2R-26M. Gr.3;199.4;FALSE;0.003767457;;hager;https://www.manomano.fr/catalogue/p/coffret-vdi-hager-semi-equipe-2r-26m-gr1-55315;cuadros;14/12/2020
MANCHON DEMONTABLE PERF.6-50M DENUD.6-50M MICHAUD K092;12.05;FALSE;0.003605345;9.99;michaud;https://www.manomano.fr/catalogue/p/manchon-demontable-perf6-50m-denud6-50m-michaud-k092-7673522;cuadros;14/12/2020
Coffret électrique 2 rangées prééquipé 8 disj. auto et 2 inter. diff. - Thomson;103.99;FALSE;0.003530732;;thomson;https://www.manomano.fr/catalogue/p/coffret-electrique-2-rangees-preequipe-8-disj-auto-et-2-inter-diff-thomson-11019081;cuadros;14/12/2020
Tableau de commande automatique de chauffe-eau - 2 disjoncteurs + 1 contacteur;113.6;FALSE;0.003488008;;legrand;https://www.manomano.fr/catalogue/p/tableau-equipe-chauffe-eau-164266;cuadros;14/12/2020
Coffret pré-équipé 4R avec protections + platine disjoncteur EDF 15-45A 500mA pour T4/T5 avec chauffage électrique ABB 2412671;471.83;FALSE;0.003464011;;abb;https://www.manomano.fr/catalogue/p/coffret-pre-equipe-4r-avec-protections-platine-disjoncteur-edf-15-45a-500ma-pour-t4-t5-avec-chauffage-electrique-abb-2412671-15642552;cuadros;14/12/2020
BORNE CIBE NUE ERDF MICHAUD N168;85.96;FALSE;0.00343788;9.99;michaud;https://www.manomano.fr/catalogue/p/borne-cibe-nue-erdf-michaud-n168-2497445;cuadros;14/12/2020
Michaud P240 - NEUTRE COUTEAU TAILLE 00;8.51;FALSE;0.003402768;4.1;michaud;https://www.manomano.fr/catalogue/p/michaud-p240-neutre-couteau-taille-00-3901084;cuadros;14/12/2020
Coffret T1/T2 26 modules Blanc équpé de 8 disjoncteurs et 2 inter. diff. livré avec accessoires - Zenitech;112.99;FALSE;0.003377856;;zenitech;https://www.manomano.fr/catalogue/p/coffret-t1-t2-26-modules-blanc-equpe-de-8-disjoncteurs-et-2-inter-diff-livre-avec-accessoires-2936929;cuadros;14/12/2020
HAGER Coffret VDI basique semi-équipé 2R-20M. Gr.1 (TN402);99;FALSE;0.003351788;7;hager;https://www.manomano.fr/catalogue/p/coffret-vdi-hager-basique-semi-equipe-2r-20m-gr1-55316;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE HAGER 3 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ (HAG3R) PORTE OFFERTE;309;FALSE;0.003348859;;hager;https://www.manomano.fr/catalogue/p/tableau-electrique-hager-3-rangee-equipe-et-pre-cable-hag3r-porte-offerte-26113693?model_id=26094584;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 1 rangée 1ID 63A 6 disjoncteurs;109;FALSE;0.003347328;5;hager;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-1-rangee-1id-63a-6-disjoncteurs-25566811?model_id=25547703;cuadros;14/12/2020
TROUSSE 4 EBCP 6-35/16 3N+1B L190 MICHAUD P673;28.25;FALSE;0.003346481;9.99;michaud;https://www.manomano.fr/catalogue/p/trousse-4-ebcp-6-35-16-3n-1b-l190-michaud-p673-18960087?model_id=18958089;cuadros;14/12/2020
Coffret Chauffe-Eau Pré-cablé 4 modules NALTO;41.5;FALSE;0.003319649;9.9;nalto;https://www.manomano.fr/catalogue/p/coffret-chauffe-eau-pre-cable-4-modules-nalto-17026230?model_id=17026047;cuadros;14/12/2020
Coffret de communication (sans répartiteur) Basique Grade 2 TV - 18 modules / Legrand;112.25;FALSE;0.003256213;3.99;legrand;https://www.manomano.fr/catalogue/p/coffret-vdi-basique-4-rj45-stp-drivia18-legrand-418247-3813886;cuadros;14/12/2020
Chargeur 2 prises usb 2x500ma OTIO 510002;15.5;FALSE;0.00323301;9.99;otio;https://www.manomano.fr/catalogue/p/coffret-12-modules-blanc-equipe-177517?model_id=2010050;cuadros;14/12/2020
Tableau pré câblé General Electric 9 disj. et 2 interrupteurs diff;159.59;FALSE;0.003142077;10.2;GE ÉVOLUE EN AEG;https://www.manomano.fr/catalogue/p/tableau-pre-cable-general-electric-9-disjoncteurs-et-2-id-1076735;cuadros;14/12/2020
COFFRET C/C BIPO 90A TAILLE 00 MICHAUD P053;31.51;FALSE;0.00313701;9.99;michaud;https://www.manomano.fr/catalogue/p/coffret-c-c-bipo-90a-taille-00-michaud-p053-7673569;cuadros;14/12/2020
Tableau équipé 4 Rangées LEGRAND (KIT4R);416.33;FALSE;0.001676791;;legrand;https://www.manomano.fr/catalogue/p/tableau-equipe-4-rangees-legrand-4412924;cuadros;14/12/2020
Tableau pré-équipé spécial T6;660;FALSE;0.000913992;;legrand;https://www.manomano.fr/catalogue/p/tableau-pre-equipe-special-t6-4581939;cuadros;14/12/2020
Tableau électrique équipé spécial pour extension cuisine-cellier (093061);214.63;FALSE;0.000867088;;legrand;https://www.manomano.fr/catalogue/p/coffret-equipe-pre-cable-drivia-4114218?model_id=3998625;cuadros;14/12/2020
Tableau electrique Pré Cablé Hager surface supérieur a 100 m2 (T6 et plus);509.25;FALSE;0.000847657;;hager;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-hager-surface-superieur-a-100-m2-t6-et-plus-187221;cuadros;14/12/2020
Tableau électrique pré équipé 2 rangées 26 modules 2ID + 7 disjoncteurs NALTO;76;FALSE;0.000754401;9.9;nalto;https://www.manomano.fr/catalogue/p/tableau-pre-equipe-nalto-2-rangees-13980780;cuadros;14/12/2020
Tableau électrique équipé spécial pour logement T5 (093058);453.59;FALSE;0.000739484;;legrand;https://www.manomano.fr/catalogue/p/legrand-leg93058-t5-essentiel-5964936;cuadros;14/12/2020
Tableau electrique Pré Cablé Schneider Electric surface entre 35 m2 et 100 m2 (T1bis et jusqu'à T5);367.49;FALSE;0.000646119;;SCHNEIDER;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-schneider-surface-entre-35-m2-et-100-m2-t1bis-et-jusqua-t5-187215;cuadros;14/12/2020
Tableau électrique pré-cablé Legrand complet Studio - T1 - T1bis jusqu'a 35m2;209.99;FALSE;0.000590514;;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-legrand-complet-studio-t1-t1bis-jusqua-35m2-1183076;cuadros;14/12/2020
Tableau electrique Pré Cablé Schneider Electric jusqu'a 35 m2 (T1 / T1bis);230.99;FALSE;0.000536577;;SCHNEIDER;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-hager-jusqua-35-m2-t1-t1bis-185535;cuadros;14/12/2020
Tableau électrique pré-équipé 3 rangées 39 modules 10 disjoncteurs 3 interrupteurs différentiels + prise 2P + T - SIEMENS;240.97;FALSE;0.000530409;;siemens;https://www.manomano.fr/catalogue/p/siemens-tableau-electrique-pre-equipe-3-rangees-39-modules-10-disjoncteurs-3-interrupteurs-differentiels-prise-2p-t-1950811;cuadros;14/12/2020
Tableau électrique pré-équipé 1 rangee;143.99;FALSE;0.000522711;7.05;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-equipe-1-rangee-978176;cuadros;14/12/2020
Tableau électrique équipé spécial pour logement T4 (093057);466.11;FALSE;0.00051915;;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-equipe-special-pour-logement-t4-legrand-93057-4581937;cuadros;14/12/2020
Tableau électrique Pré-Câblé 3 rangées - Rénovation / Schneider;299.99;FALSE;0.000512441;;SCHNEIDER;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-cable-3-rangees-renovation-schneider-12552184;cuadros;14/12/2020
Tableau électrique  pré-équipé 2 rangées 26 modules 3 ID + 10 Disjoncteurs NALTO;108;FALSE;0.000438533;9.9;nalto;https://www.manomano.fr/catalogue/p/tableau-pre-equipe-nalto-2-rangees-13980779;cuadros;14/12/2020
Tableau pré-équipé spécial T3;298.8;FALSE;0.000421849;7.05;legrand;https://www.manomano.fr/catalogue/p/legrand-tableau-electrique-equipe-precable-essentiel-special-pour-logement-t3-3354281;cuadros;14/12/2020
Tableau équipé 3 Rangées LEGRAND (KIT3R);416.33;FALSE;0.00039655;;legrand;https://www.manomano.fr/catalogue/p/tableau-equipe-3-rangees-legrand-4412922;cuadros;14/12/2020
COFFRET VDI PAP OPTIMUM AUTO DRIVIA18 LEGRAND 418264;1982.21;FALSE;0.000364058;;legrand;https://www.manomano.fr/catalogue/p/coffret-vdi-pap-optimum-auto-drivia18-legrand-418264-3813892;cuadros;14/12/2020
CLE DE MAINTIEN CBS/RDP MICHAUD K004;7.37;FALSE;0.000353387;9.99;michaud;https://www.manomano.fr/catalogue/p/cle-de-maintien-cbs-rdp-michaud-k004-18960195?model_id=18958197;cuadros;14/12/2020
Option chauffe-eau électrique pour tableau Hager complet;78.23;FALSE;0.000344514;3.99;hager;https://www.manomano.fr/catalogue/p/option-chauffe-eau-electrique-pour-tableau-hager-complet-187224;cuadros;14/12/2020
TAMC 2R XP ( ID 40A TYPE AC + ID 40A TYPE A + 7 DISJ);990.72;FALSE;0.000329403;100;schneider;https://www.manomano.fr/catalogue/p/tableau-electrique-resi9-pre-cable-2-rangees-13-modules-logement-t1-a-t3-9508915;cuadros;14/12/2020
Coffret Basique Grade 2 TV - TV sur RJ Ready - 413248 - Legrand;100.76;FALSE;0.000327823;6;legrand;https://www.manomano.fr/catalogue/p/coffret-basique-4rj45-stp-2tv-drivia13-legrand-413248-3855693;cuadros;14/12/2020
TROUSSE 2 EBCP 6-35/16 1N+1B L235 MICHAUD P648;14.64;FALSE;0.000327511;9.99;michaud;https://www.manomano.fr/catalogue/p/trousse-2-ebcp-6-35-16-1n-1b-l235-michaud-p648-7673621;cuadros;14/12/2020
COFFRET S20 NU SERRURE RECT. MICHAUD N001;75.21;FALSE;0.000313915;9.99;michaud;https://www.manomano.fr/catalogue/p/coffret-s20-nu-serrure-rect-michaud-n001-7673558;cuadros;14/12/2020
Tableau electrique Pré Cablé Legrand surface entre 35 m2 et 100 m2 (T1bis et jusqu'à T5);372.75;FALSE;0.000306773;;legrand;https://www.manomano.fr/catalogue/p/prise-rj45-cat6-complet-celiane-blanc-321373;cuadros;14/12/2020
Tableau pré-équipé spécial logement T1/T2;259.67;FALSE;0.000303922;7.05;legrand;https://www.manomano.fr/catalogue/p/tableau-pre-equipe-special-logement-t1-t2-4581935;cuadros;14/12/2020
