titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Bloc Différentiel VIGI DT40 3P+N 40A 30 ASI Schneider Electric ACTI 9;316.12;false;0.0001221815;;SCHNEIDER;https://www.manomano.fr/catalogue/p/dt40-si-40a-3p-n-400v-30ma-96693;diferenciales;2020-12-17
Disjoncteur bipolaire différentiel de protection 300mA 63A (401134);353.09;false;0.0001176811;;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-differentiel-de-protection-baco-diff-300-ma-2p-63-a-legrand-401134-4848686;diferenciales;2020-12-17
Bloc differentiel 125A 2P 1000mA type SI selectif VIGI C120 Multi9 SCHNEIDER ELECTRIC 18557;183.55;false;0.0001175825;4.99;schneider;https://www.manomano.fr/catalogue/p/bloc-differentiel-125a-2p-1000ma-type-si-selectif-vigi-c120-multi9-schneider-electric-18557-9244733;diferenciales;2020-12-17
Merlin Gerin Bloc Différentiel 25A - 3P - 220-415V;138.96;false;0.0001154899;4.55;schneider;https://www.manomano.fr/catalogue/p/merlin-gerin-bloc-differentiel-25a-3p-220-415v-15229579;diferenciales;2020-12-17
Acti9. Vigi iC60. bloc différentiel 4P 40A 300mA type AC 230-240V 400-415V;151.8;false;0.0001150362;;schneider;https://www.manomano.fr/catalogue/p/acti9-vigi-ic60-bloc-differentiel-4p-40a-300ma-type-ac-230-240v-400-415v-8265272;diferenciales;2020-12-17
Schneider A9N21114 Disjoncteur 3P+N 16A courbe C Prodis DT40K;85.67;false;0.0001149583;4.55;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-dt40k-non-auxiliarisable-3p-n-45ka-courbe-c-16a-1026300;diferenciales;2020-12-17
Disjoncteur Eaton pur 25A 2P 30MA type AC 235390;17.92;false;0.0001148776;14.49;eaton;https://www.manomano.fr/catalogue/p/disjoncteur-eaton-pur-25a-2p-30ma-type-ac-235390-5118829;diferenciales;2020-12-17
Disj diff DX³ 6000 -vis/auto-U+N 230V~-32A-typeAC-30mA-10kA-courbe C - 2 mod;145.93;false;0.0001146454;3.99;legrand;https://www.manomano.fr/catalogue/p/di-dif-1p-ng-32a-6000a-10ka-tg-144415;diferenciales;2020-12-17
Inter dif 4P 40A 30mA AC 60Hz (HAG CDC447F);166.74;false;0.0001141519;3.50;hager;https://www.manomano.fr/catalogue/p/inter-dif-4p-40a-30ma-ac-60hz-hag-cdc447f-14772236;diferenciales;2020-12-17
Interrupteur Différentiel 2P 40A / 30mA / type A Iskra;28.22;false;0.0001135928;6.70;ISKRA;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-40a-30ma-type-a-iskra-15775986;diferenciales;2020-12-17
Schneider A9N21116 Disjoncteur 3P+N 25A cource C Prodis DT40K;93.77;false;0.0001129593;4.55;SCHNEIDER;https://www.manomano.fr/catalogue/p/prodis-dt40k-disjoncteur-3p-n-25a-courbe-c-45-ka-a9n21116-1026282;diferenciales;2020-12-17
Interrupteur de moulin à grains AMA - On/Off 230 V;19.87;false;0.0001120885;4.56;LEM SELECT;https://www.manomano.fr/catalogue/p/interrupteur-de-moulin-a-grains-ama-on-off-230-v-8130995;diferenciales;2020-12-17
Interrupteur différentiel 2 pôles 30mA AC 16A - Efapel;21.67;false;0.0001120713;5.90;efapel;https://www.manomano.fr/catalogue/p/efapel-interrupteur-differentiel-2-poles-30ma-ac-16a-4414457;diferenciales;2020-12-17
BTICINO DISJONCTEUR DIFFÉRENTIEL COURANT 1+N 4.5 KA GC8813AC10;27.28;false;0.000111415;14.49;bticino;https://www.manomano.fr/catalogue/p/magnetothermic-differential-ac-1-polo-neutro-30ma-10a-4500ka-gc8813ac10-3599047;diferenciales;2020-12-17
Bloc diff adapt DX³-auto-2P-230/400 V~-40 A-type AC-30 mA-disj 1 mod/pôle;120.81;false;0.0001111823;3.99;legrand;https://www.manomano.fr/catalogue/p/bloc-diff-adapt-dx-auto-2p-230-400-v-40-a-type-ac-30-ma-disj-1-mod-pole-2198872;diferenciales;2020-12-17
Bloc diff adapt DX³-vis-4P-400V~-63A-typeAC-1000mA sélec-disj 1mod/p-câbl trad;229.32;false;0.0001111775;;legrand;https://www.manomano.fr/catalogue/p/bloc-diff-adapt-dx-vis-4p-400v-63a-typeac-1000ma-selec-disj-1mod-p-cabl-trad-2198889;diferenciales;2020-12-17
BLOC DIFF ADAPT DX³-VIS-4P-400V~-40A-TYPEHPI-30MA-DISJONCTEUR 1MOD/PÔLE-CÂBL TRAD LEGRAND 410533;131.15;false;0.0001110518;9.99;legrand;https://www.manomano.fr/catalogue/p/bloc-diff-adapt-dx-vis-4p-400v-40a-typehpi-30ma-disj-1mod-pole-cabl-trad-2198890;diferenciales;2020-12-17
Merlin Gerin 26567 - Bloc Différentiel - Vigi C60 - 4p/63a/300ma/220-415V/AC;194.02;false;0.00011096;5.95;schneider;https://www.manomano.fr/catalogue/p/merlin-gerin-26567-bloc-differentiel-vigi-c60-4p-63a-300ma-220-415v-ac-3901957;diferenciales;2020-12-17
Interrupteur Différentiel Pur Bticino 4 Pôles 63A 500 ma Type AC-4 Modules;150.46;false;0.000110951;14.49;bticino;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-pur-bticino-4-poles-63a-500-ma-type-ac-4-modules-6418296;diferenciales;2020-12-17
Bloc dif 2xsortie 3P+N 40A 30mA HI (HAG BDH940F);267.14;false;0.0001101504;;hager;https://www.manomano.fr/catalogue/p/bloc-dif-2xsortie-3p-n-40a-30ma-hi-hag-bdh940f-8451477;diferenciales;2020-12-17
Courant résiduel disjoncteur Abb DS201LH 10A courbe C 30mA À DS201LHC10A30;34.74;false;0.0001099517;14.49;abb;https://www.manomano.fr/catalogue/p/courant-residuel-disjoncteur-abb-ds201lh-10a-courbe-c-30ma-a-ds201lhc10a30-17707894?model_id=17705896;diferenciales;2020-12-17
